09-23-2026 15:34:55 RAM 3346/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [12%@2201,22%@2201,11%@2201,8%@2201,10%@2201,10%@2201,10%@2201,9%@2201,11%@2201,9%@2201,48%@2201,8%@2201] GR3D_FREQ 0% cpu@55.406C soc2@50.5C soc0@51.937C gpu@50.218C tj@55.406C soc1@52.125C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 4923mW/4923mW
09-23-2026 15:55:19 RAM 13261/30697MB (lfb 107x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,4%@2201,0%@2201,1%@2201,0%@2201,2%@2201,1%@2201,1%@2201,0%@2201,0%@2201,14%@2201] GR3D_FREQ 98% cpu@71.625C soc2@67.843C soc0@68.843C gpu@73.062C tj@73.062C soc1@67.437C VDD_GPU_SOC 40469mW/32744mW VDD_CPU_CV 1873mW/2262mW VIN_SYS_5V0 11052mW/10202mW
09-23-2026 15:55:20 RAM 13294/30697MB (lfb 97x4MB) SWAP 414/15348MB (cached 0MB) CPU [46%@2201,3%@2201,6%@2201,4%@2201,3%@2201,3%@2201,3%@2201,2%@2201,3%@2201,3%@2201,3%@2201,18%@2201] GR3D_FREQ 99% cpu@71.531C soc2@66.875C soc0@67.968C gpu@69.562C tj@71.531C soc1@67.312C VDD_GPU_SOC 18117mW/32732mW VDD_CPU_CV 3395mW/2263mW VIN_SYS_5V0 7636mW/10200mW
09-23-2026 15:55:21 RAM 13295/30697MB (lfb 97x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,9%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.531C soc2@67.625C soc0@68.843C gpu@72.656C tj@72.656C soc1@67.25C VDD_GPU_SOC 37879mW/32736mW VDD_CPU_CV 1875mW/2263mW VIN_SYS_5V0 10851mW/10200mW
09-23-2026 15:55:22 RAM 13313/30697MB (lfb 96x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,44%@2201,2%@2201,3%@2201,2%@2201,2%@2201,1%@2201,1%@2201,5%@2201,2%@2201,2%@2201] GR3D_FREQ 99% cpu@71.687C soc2@67.062C soc0@68.093C gpu@69.718C tj@71.687C soc1@67.375C VDD_GPU_SOC 25234mW/32730mW VDD_CPU_CV 2635mW/2263mW VIN_SYS_5V0 8741mW/10199mW
09-23-2026 15:55:23 RAM 13314/30697MB (lfb 96x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,9%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@71.656C soc2@67.75C soc0@68.718C gpu@72.781C tj@72.781C soc1@67.437C VDD_GPU_SOC 38987mW/32735mW VDD_CPU_CV 1874mW/2263mW VIN_SYS_5V0 10952mW/10200mW
09-23-2026 15:55:24 RAM 13315/30697MB (lfb 95x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,41%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@71.562C soc2@66.906C soc0@67.875C gpu@67.312C tj@71.562C soc1@67.562C VDD_GPU_SOC 23738mW/32728mW VDD_CPU_CV 2637mW/2263mW VIN_SYS_5V0 8339mW/10198mW
09-23-2026 15:55:25 RAM 13203/30697MB (lfb 116x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,2%@2201,19%@2201,2%@2201,2%@2201,3%@2201,3%@2201,2%@2201,2%@2201,2%@2201,3%@2201,2%@2201] GR3D_FREQ 99% cpu@71.625C soc2@67.718C soc0@68.656C gpu@72.156C tj@72.156C soc1@67.468C VDD_GPU_SOC 37144mW/32731mW VDD_CPU_CV 1875mW/2263mW VIN_SYS_5V0 10851mW/10199mW
09-23-2026 15:55:26 RAM 13204/30697MB (lfb 116x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,25%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@71.843C soc2@67.218C soc0@68.281C gpu@68.875C tj@71.843C soc1@67.531C VDD_GPU_SOC 33059mW/32732mW VDD_CPU_CV 2254mW/2263mW VIN_SYS_5V0 9947mW/10199mW
09-23-2026 15:55:27 RAM 13312/30697MB (lfb 96x4MB) SWAP 414/15348MB (cached 0MB) CPU [3%@2201,3%@2201,49%@2201,2%@2201,2%@2201,3%@2201,4%@2201,3%@2201,2%@2201,4%@2201,2%@2201,2%@2201] GR3D_FREQ 98% cpu@71.718C soc2@67.562C soc0@68.562C gpu@72.093C tj@72.093C soc1@67.281C VDD_GPU_SOC 32684mW/32732mW VDD_CPU_CV 2253mW/2263mW VIN_SYS_5V0 10148mW/10199mW
09-23-2026 15:55:28 RAM 13313/30697MB (lfb 95x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,15%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 98% cpu@71.75C soc2@67.843C soc0@68.937C gpu@73.062C tj@73.062C soc1@67.343C VDD_GPU_SOC 41219mW/32739mW VDD_CPU_CV 1872mW/2263mW VIN_SYS_5V0 10768mW/10199mW
09-23-2026 15:55:29 RAM 13193/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,56%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,2%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 99% cpu@71.593C soc2@67.437C soc0@68.406C gpu@71.937C tj@71.937C soc1@67.375C VDD_GPU_SOC 30080mW/32736mW VDD_CPU_CV 2255mW/2263mW VIN_SYS_5V0 9646mW/10199mW
09-23-2026 15:55:30 RAM 13194/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,13%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.593C soc2@67.843C soc0@68.812C gpu@72.843C tj@72.843C soc1@67.375C VDD_GPU_SOC 40095mW/32742mW VDD_CPU_CV 1873mW/2262mW VIN_SYS_5V0 10751mW/10199mW
09-23-2026 15:55:31 RAM 13021/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,29%@2201,1%@2201,0%@2201,0%@2201,1%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 99% cpu@71.593C soc2@67.781C soc0@68.656C gpu@71.781C tj@71.781C soc1@67.562C VDD_GPU_SOC 36019mW/32745mW VDD_CPU_CV 1876mW/2262mW VIN_SYS_5V0 10751mW/10199mW
09-23-2026 15:55:32 RAM 13028/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,28%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 26% cpu@72C soc2@67.25C soc0@68.468C gpu@68.906C tj@72C soc1@67.343C VDD_GPU_SOC 33811mW/32746mW VDD_CPU_CV 2253mW/2262mW VIN_SYS_5V0 10148mW/10199mW
09-23-2026 15:55:33 RAM 13054/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,2%@2201,19%@2201,1%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,1%@2201,1%@2201] GR3D_FREQ 98% cpu@71.812C soc2@67.781C soc0@68.75C gpu@72.5C tj@72.5C soc1@67.343C VDD_GPU_SOC 38254mW/32750mW VDD_CPU_CV 1874mW/2262mW VIN_SYS_5V0 11153mW/10200mW
09-23-2026 15:55:34 RAM 13072/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,29%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@72.031C soc2@67.25C soc0@68.125C gpu@68.656C tj@72.031C soc1@67.468C VDD_GPU_SOC 32308mW/32750mW VDD_CPU_CV 2255mW/2262mW VIN_SYS_5V0 9746mW/10200mW
09-23-2026 15:55:35 RAM 13088/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,20%@2201,1%@2201,2%@2201,1%@2201,4%@2201,3%@2201,1%@2201,1%@2201,2%@2201,2%@2201] GR3D_FREQ 98% cpu@71.687C soc2@67.75C soc0@68.75C gpu@72.562C tj@72.562C soc1@67.468C VDD_GPU_SOC 37879mW/32754mW VDD_CPU_CV 1875mW/2261mW VIN_SYS_5V0 10952mW/10200mW
09-23-2026 15:55:36 RAM 13090/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,23%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 6% cpu@71.937C soc2@67.343C soc0@68.437C gpu@69.062C tj@71.937C soc1@67.531C VDD_GPU_SOC 33796mW/32755mW VDD_CPU_CV 2253mW/2261mW VIN_SYS_5V0 10148mW/10200mW
09-23-2026 15:55:37 RAM 13167/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [3%@2201,2%@2201,35%@2201,2%@2201,2%@2201,3%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 99% cpu@71.937C soc2@67.656C soc0@68.812C gpu@71.937C tj@71.937C soc1@67.562C VDD_GPU_SOC 35283mW/32757mW VDD_CPU_CV 1876mW/2261mW VIN_SYS_5V0 10751mW/10201mW
09-23-2026 15:55:38 RAM 13168/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,18%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,2%@2201] GR3D_FREQ 46% cpu@71.937C soc2@67.75C soc0@68.718C gpu@71.25C tj@71.937C soc1@67.406C VDD_GPU_SOC 40112mW/32763mW VDD_CPU_CV 1874mW/2261mW VIN_SYS_5V0 10567mW/10201mW
09-23-2026 15:55:39 RAM 13090/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,3%@2201,39%@2201,2%@2201,1%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 99% cpu@71.937C soc2@67.687C soc0@68.625C gpu@72.687C tj@72.687C soc1@67.343C VDD_GPU_SOC 35283mW/32765mW VDD_CPU_CV 1876mW/2260mW VIN_SYS_5V0 10650mW/10202mW
09-23-2026 15:55:40 RAM 13092/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,14%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.906C soc2@68.031C soc0@68.968C gpu@73.375C tj@73.375C soc1@67.5C VDD_GPU_SOC 42325mW/32773mW VDD_CPU_CV 1872mW/2260mW VIN_SYS_5V0 10952mW/10202mW
09-23-2026 15:55:41 RAM 13204/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [3%@2201,2%@2201,39%@2201,2%@2201,2%@2201,3%@2201,3%@2201,3%@2201,2%@2201,3%@2201,10%@2201,2%@2201] GR3D_FREQ 98% cpu@71.75C soc2@67.75C soc0@68.718C gpu@72.281C tj@72.281C soc1@67.468C VDD_GPU_SOC 35283mW/32775mW VDD_CPU_CV 2252mW/2260mW VIN_SYS_5V0 10550mW/10202mW
09-23-2026 15:55:42 RAM 13205/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,16%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,13%@2201,0%@2201] GR3D_FREQ 98% cpu@71.812C soc2@68.125C soc0@69.062C gpu@73.312C tj@73.312C soc1@67.468C VDD_GPU_SOC 41950mW/32782mW VDD_CPU_CV 1872mW/2260mW VIN_SYS_5V0 11052mW/10203mW
09-23-2026 15:55:43 RAM 13205/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,47%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,10%@2201,1%@2201] GR3D_FREQ 39% cpu@72.093C soc2@67.531C soc0@68.5C gpu@70C tj@72.093C soc1@67.468C VDD_GPU_SOC 34157mW/32783mW VDD_CPU_CV 2251mW/2260mW VIN_SYS_5V0 11052mW/10204mW
09-23-2026 15:55:44 RAM 13100/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,20%@2201,37%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,1%@2201,2%@2201] GR3D_FREQ 99% cpu@72C soc2@67.718C soc0@68.593C gpu@71.937C tj@72C soc1@67.437C VDD_GPU_SOC 35283mW/32785mW VDD_CPU_CV 2251mW/2260mW VIN_SYS_5V0 10751mW/10204mW
09-23-2026 15:55:45 RAM 13100/30697MB (lfb 110x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,17%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 68% cpu@71.843C soc2@67.968C soc0@68.906C gpu@72.25C tj@72.25C soc1@67.5C VDD_GPU_SOC 40844mW/32792mW VDD_CPU_CV 1873mW/2259mW VIN_SYS_5V0 10751mW/10205mW
09-23-2026 15:55:46 RAM 13259/30697MB (lfb 103x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,3%@2201,63%@2201,3%@2201,3%@2201,2%@2201,2%@2201,2%@2201,3%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 98% cpu@71.843C soc2@67.5C soc0@68.468C gpu@72.062C tj@72.062C soc1@67.406C VDD_GPU_SOC 29340mW/32789mW VDD_CPU_CV 2256mW/2259mW VIN_SYS_5V0 9646mW/10204mW
09-23-2026 15:55:47 RAM 13259/30697MB (lfb 102x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,12%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.718C soc2@67.875C soc0@68.843C gpu@73.062C tj@73.062C soc1@67.468C VDD_GPU_SOC 40469mW/32795mW VDD_CPU_CV 1873mW/2259mW VIN_SYS_5V0 10851mW/10205mW
09-23-2026 15:55:48 RAM 13072/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [4%@2201,2%@2201,32%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,1%@2201,1%@2201] GR3D_FREQ 99% cpu@71.812C soc2@67.718C soc0@68.75C gpu@72.468C tj@72.468C soc1@67.5C VDD_GPU_SOC 35283mW/32797mW VDD_CPU_CV 1876mW/2259mW VIN_SYS_5V0 10650mW/10205mW
09-23-2026 15:55:49 RAM 13072/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,13%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 98% cpu@72.093C soc2@67.968C soc0@68.906C gpu@73.25C tj@73.25C soc1@67.406C VDD_GPU_SOC 41950mW/32805mW VDD_CPU_CV 1872mW/2258mW VIN_SYS_5V0 11052mW/10206mW
09-23-2026 15:55:50 RAM 13093/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,60%@2201,1%@2201,1%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@72.25C soc2@67.062C soc0@68C gpu@67.937C tj@72.25C soc1@67.468C VDD_GPU_SOC 25600mW/32799mW VDD_CPU_CV 3013mW/2259mW VIN_SYS_5V0 8942mW/10205mW
09-23-2026 15:55:51 RAM 13093/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [13%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,3%@2201] GR3D_FREQ 98% cpu@71.843C soc2@67.843C soc0@68.843C gpu@73.125C tj@73.125C soc1@67.5C VDD_GPU_SOC 38254mW/32803mW VDD_CPU_CV 1874mW/2259mW VIN_SYS_5V0 10952mW/10205mW
09-23-2026 15:55:52 RAM 13039/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [33%@2201,1%@2201,1%@2201,2%@2201,0%@2201,1%@2201,3%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 99% cpu@71.875C soc2@67.437C soc0@68.625C gpu@70.812C tj@71.875C soc1@67.625C VDD_GPU_SOC 30818mW/32802mW VDD_CPU_CV 2255mW/2259mW VIN_SYS_5V0 9746mW/10205mW
09-23-2026 15:55:53 RAM 13040/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.968C soc2@67.937C soc0@68.875C gpu@73.25C tj@73.25C soc1@67.406C VDD_GPU_SOC 40112mW/32807mW VDD_CPU_CV 1873mW/2258mW VIN_SYS_5V0 11052mW/10206mW
09-23-2026 15:55:54 RAM 13077/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [35%@2201,1%@2201,1%@2201,1%@2201,2%@2201,2%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 98% cpu@72C soc2@67.656C soc0@68.562C gpu@71.968C tj@72C soc1@67.468C VDD_GPU_SOC 32322mW/32807mW VDD_CPU_CV 2254mW/2258mW VIN_SYS_5V0 10048mW/10206mW
09-23-2026 15:55:55 RAM 13077/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [11%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 97% cpu@71.843C soc2@68.062C soc0@68.968C gpu@73.437C tj@73.437C soc1@67.5C VDD_GPU_SOC 40469mW/32813mW VDD_CPU_CV 1873mW/2258mW VIN_SYS_5V0 11052mW/10206mW
09-23-2026 15:55:56 RAM 13227/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [55%@2201,3%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,3%@2201,3%@2201,2%@2201,2%@2201,3%@2201] GR3D_FREQ 0% cpu@72.593C soc2@67.093C soc0@67.937C gpu@67.125C tj@72.593C soc1@67.5C VDD_GPU_SOC 18494mW/32802mW VDD_CPU_CV 3395mW/2259mW VIN_SYS_5V0 7636mW/10204mW
09-23-2026 15:55:57 RAM 13226/30697MB (lfb 108x4MB) SWAP 414/15348MB (cached 0MB) CPU [10%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.781C soc2@67.937C soc0@68.968C gpu@73.125C tj@73.125C soc1@67.656C VDD_GPU_SOC 37879mW/32806mW VDD_CPU_CV 1875mW/2259mW VIN_SYS_5V0 10851mW/10205mW
09-23-2026 15:55:58 RAM 13287/30697MB (lfb 93x4MB) SWAP 414/15348MB (cached 0MB) CPU [36%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@71.937C soc2@67.25C soc0@67.968C gpu@67.875C tj@71.937C soc1@67.468C VDD_GPU_SOC 27106mW/32801mW VDD_CPU_CV 2257mW/2259mW VIN_SYS_5V0 8942mW/10204mW
09-23-2026 15:55:59 RAM 13333/30697MB (lfb 81x4MB) SWAP 414/15348MB (cached 0MB) CPU [42%@2201,3%@2201,2%@2201,2%@2201,2%@2201,2%@2201,3%@2201,2%@2201,3%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 98% cpu@71.812C soc2@67.656C soc0@68.593C gpu@72.093C tj@72.093C soc1@67.375C VDD_GPU_SOC 34172mW/32802mW VDD_CPU_CV 2252mW/2259mW VIN_SYS_5V0 10449mW/10204mW
09-23-2026 15:56:00 RAM 13332/30697MB (lfb 81x4MB) SWAP 414/15348MB (cached 0MB) CPU [14%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 98% cpu@71.781C soc2@67.875C soc0@68.906C gpu@73.125C tj@73.125C soc1@67.468C VDD_GPU_SOC 41219mW/32809mW VDD_CPU_CV 1872mW/2258mW VIN_SYS_5V0 10952mW/10204mW
09-23-2026 15:56:01 RAM 13159/30697MB (lfb 105x4MB) SWAP 414/15348MB (cached 0MB) CPU [35%@2201,3%@2201,1%@2201,2%@2201,2%@2201,2%@2201,4%@2201,2%@2201,3%@2201,2%@2201,1%@2201,2%@2201] GR3D_FREQ 99% cpu@71.937C soc2@67.718C soc0@68.75C gpu@72.156C tj@72.156C soc1@67.468C VDD_GPU_SOC 36019mW/32812mW VDD_CPU_CV 1876mW/2258mW VIN_SYS_5V0 10751mW/10205mW
09-23-2026 15:56:02 RAM 13159/30697MB (lfb 105x4MB) SWAP 414/15348MB (cached 0MB) CPU [14%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.843C soc2@68.187C soc0@69.062C gpu@73.5C tj@73.5C soc1@67.562C VDD_GPU_SOC 42325mW/32819mW VDD_CPU_CV 1873mW/2258mW VIN_SYS_5V0 10952mW/10205mW
09-23-2026 15:56:03 RAM 13308/30697MB (lfb 86x4MB) SWAP 414/15348MB (cached 0MB) CPU [64%@2201,3%@2201,3%@2201,2%@2201,2%@2201,2%@2201,3%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 98% cpu@71.531C soc2@67.562C soc0@68.625C gpu@71.781C tj@71.781C soc1@67.343C VDD_GPU_SOC 27095mW/32815mW VDD_CPU_CV 2634mW/2258mW VIN_SYS_5V0 9143mW/10205mW
09-23-2026 15:56:04 RAM 13308/30697MB (lfb 86x4MB) SWAP 414/15348MB (cached 0MB) CPU [11%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201] GR3D_FREQ 98% cpu@71.875C soc2@67.875C soc0@69C gpu@72.968C tj@72.968C soc1@67.375C VDD_GPU_SOC 39737mW/32820mW VDD_CPU_CV 1874mW/2258mW VIN_SYS_5V0 10952mW/10205mW
09-23-2026 15:56:05 RAM 13325/30697MB (lfb 81x4MB) SWAP 414/15348MB (cached 0MB) CPU [61%@2201,2%@2201,3%@2201,2%@2201,3%@2201,3%@2201,3%@2201,2%@2201,2%@2201,2%@2201,2%@2201,3%@2201] GR3D_FREQ 9% cpu@71.937C soc2@66.812C soc0@67.531C gpu@67.156C tj@71.937C soc1@67.375C VDD_GPU_SOC 15865mW/32807mW VDD_CPU_CV 3398mW/2259mW VIN_SYS_5V0 7234mW/10203mW
09-23-2026 15:56:06 RAM 13325/30697MB (lfb 81x4MB) SWAP 414/15348MB (cached 0MB) CPU [10%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@71.937C soc2@67.656C soc0@68.718C gpu@73.031C tj@73.031C soc1@67.406C VDD_GPU_SOC 37504mW/32810mW VDD_CPU_CV 1875mW/2258mW VIN_SYS_5V0 10851mW/10203mW
09-23-2026 15:56:07 RAM 13325/30697MB (lfb 81x4MB) SWAP 414/15348MB (cached 0MB) CPU [42%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@71.562C soc2@67.125C soc0@67.843C gpu@67.562C tj@71.562C soc1@67.468C VDD_GPU_SOC 23371mW/32803mW VDD_CPU_CV 2637mW/2259mW VIN_SYS_5V0 8239mW/10202mW
09-23-2026 15:56:08 RAM 13143/30697MB (lfb 100x4MB) SWAP 414/15348MB (cached 0MB) CPU [14%@2201,1%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,2%@2201,1%@2201,1%@2201,1%@2201,2%@2201] GR3D_FREQ 98% cpu@71.625C soc2@67.781C soc0@68.718C gpu@72.656C tj@72.656C soc1@67.5C VDD_GPU_SOC 37504mW/32807mW VDD_CPU_CV 1875mW/2258mW VIN_SYS_5V0 10952mW/10202mW
09-23-2026 15:56:09 RAM 13147/30697MB (lfb 100x4MB) SWAP 414/15348MB (cached 0MB) CPU [31%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@71.875C soc2@67.343C soc0@68.187C gpu@68.562C tj@71.875C soc1@67.656C VDD_GPU_SOC 30080mW/32804mW VDD_CPU_CV 2256mW/2258mW VIN_SYS_5V0 9445mW/10202mW
09-23-2026 15:56:10 RAM 13292/30697MB (lfb 88x4MB) SWAP 414/15348MB (cached 0MB) CPU [44%@2201,3%@2201,3%@2201,3%@2201,2%@2201,3%@2201,2%@2201,4%@2201,2%@2201,2%@2201,4%@2201,2%@2201] GR3D_FREQ 98% cpu@71.625C soc2@67.5C soc0@68.468C gpu@71.656C tj@71.656C soc1@67.312C VDD_GPU_SOC 33435mW/32805mW VDD_CPU_CV 2253mW/2258mW VIN_SYS_5V0 10349mW/10202mW
09-23-2026 15:56:11 RAM 13292/30697MB (lfb 88x4MB) SWAP 414/15348MB (cached 0MB) CPU [14%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 98% cpu@71.968C soc2@67.875C soc0@68.812C gpu@72.937C tj@72.937C soc1@67.375C VDD_GPU_SOC 41219mW/32812mW VDD_CPU_CV 1873mW/2258mW VIN_SYS_5V0 10768mW/10202mW
09-23-2026 15:56:12 RAM 13325/30697MB (lfb 79x4MB) SWAP 414/15348MB (cached 0MB) CPU [63%@2201,3%@2201,3%@2201,3%@2201,2%@2201,3%@2201,2%@2201,4%@2201,3%@2201,2%@2201,3%@2201,3%@2201] GR3D_FREQ 99% cpu@71.281C soc2@67.375C soc0@68.343C gpu@71.375C tj@71.375C soc1@67.312C VDD_GPU_SOC 28224mW/32808mW VDD_CPU_CV 2633mW/2258mW VIN_SYS_5V0 9344mW/10202mW
